ranglijst;song;artiest;jaar_uitgebracht;jaar_lijst
97;The Rose;Bette Midler;-1980;2017
98;Hallelujah;Leonard Cohen;-1984;2017
99;Belfast Child;Simple Minds;-1989;2017
100;Wonderwall;Oasis;-1995;2017
1;Bohemian Rhapsody;Queen;-1975;2016
2;Hotel California;Eagles;-1977;2016
3;Stairway To Heaven;Led Zeppelin;-1971;2016
4;Piano Man;Billy Joel;-1974;2016
5;Child In Time;Deep Purple;-1972;2016
6;Avond;Boudewijn De Groot;-1997;2016
7;Heroes;David Bowie;-1977;2016
8;Mag Ik Dan Bij Jou;Claudia de Breij;-2011;2016
9;Wish You Were Here;Pink Floyd;-1975;2016
10;Black;Pearl Jam;-1991;2016
11;Fix you;Coldplay;-2005;2016
12;Imagine;John Lennon;-1971;2016
13;Purple Rain;Prince & the Revolution;-1984;2016
14;The River;Bruce Springsteen;-1981;2016
15;Nothing Else Matters;Metallica;-1992;2016
16;Comfortably Numb;Pink Floyd;-1979;2016
17;November Rain;Guns N' Roses;-1992;2016
18;God Only Knows;Beach Boys;-1966;2016
19;Brothers In Arms;Dire Straits;-1985;2016
20;Shine On You Crazy Diamond;Pink Floyd;-1975;2016
21;Thunderstruck;AC/DC;-1990;2016
22;Radar Love;Golden Earring;-1973;2016
23;The Sound Of Silence;Simon & Garfunkel;-1966;2016
24;Oceaan;Racoon;-2013;2016
25;One;Metallica;-1994;2016
26;Sultans Of Swing;Dire Straits;-1978;2016
27;Paradise By The Dashboard Light;Meat Loaf;-1978;2016
28;Hurt;Johnny Cash;-2003;2016
29;Hallelujah;Leonard Cohen;-1984;2016
30;Africa;Toto;-1982;2016
31;One;U2;-1992;2016
32;Smells Like Teen Spirit;Nirvana;-1991;2016
33;Viva la vida;Coldplay;-2008;2016
34;Just breathe;Pearl Jam;-2009;2016
35;Innuendo;Queen;-1991;2016
36;Clocks;Coldplay;-2003;2016
37;Old And Wise;Alan Parsons Project;-1982;2016
38;Space Oddity;David Bowie;-1969;2016
39;Hey Jude;Beatles;-1968;2016
40;A Forest;Cure;-1980;2016
41;The scientist;Coldplay;-2002;2016
42;Brabant;Guus Meeuwis;-2003;2016
43;Go Your Own Way;Fleetwood Mac;-1977;2016
44;Alive;Pearl Jam;-1992;2016
45;Back to black;Amy Winehouse;-2011;2016
46;Riders On The Storm;Doors;-1971;2016
47;Someone like you;Adele;-2011;2016
48;School;Supertramp;-1974;2016
49;Sunday Bloody Sunday;U2;-1985;2016
50;Under The Bridge;Red Hot Chili Peppers;-1992;2016
51;Sweet Child O' Mine;Guns N' Roses;-1988;2016
52;Bridge Over Troubled Water;Simon & Garfunkel;-1970;2016
53;Telegraph Road;Dire Straits;-1982;2016
54;In The Air Tonight;Phil Collins;-1981;2016
55;Het Dorp;Wim Sonneveld;-1974;2016
56;The Dock Of The Bay;Otis Redding;-1968;2016
57;Iron Sky;Paolo Nutini;-2014;2016
58;Somebody To Love;Queen;-1976;2016
59;With Or Without You;U2;-1987;2016
60;Sympathy For The Devil;Rolling Stones;-1973;2016
61;Paint It Black;Rolling Stones;-1966;2016
62;Enter sandman;Metallica;-1991;2016
63;Het Regent Zonnestralen;Acda En De Munnik;-1998;2016
64;Love Of My Life;Queen;-1975;2016
65;Highway to hell;AC/DC;-1979;2016
66;Another Brick In The Wall;Pink Floyd;-1979;2016
67;Private Investigations;Dire Straits;-1982;2016
68;Let It Be;Beatles;-1970;2016
69;Pastorale;Ramses Shaffy & Liesbeth List;-1969;2016
70;Killing In The Name Of;Rage against the machine;-1993;2016
71;House Of The Rising Sun;Animals;-1964;2016
72;Hello;Adele;-2015;2016
73;Whole Lotta Rosie;AC/DC;-1978;2016
74;Angels;Robbie Williams;-1998;2016
75;Creep;Radiohead;-1993;2016
76;Chasing cars;Snow Patrol;-2006;2016
77;Goodnight Saigon;Billy Joel;-1983;2016
78;Angie;Rolling Stones;-1973;2016
79;Mr. Blue Sky;Electric Light Orchestra;-1978;2016
80;Losing My Religion;R.E.M.;-1991;2016
81;Over De Muur;Klein Orkest;-1984;2016
82;Home;Dotan;-2014;2016
83;Tears In Heaven;Eric Clapton;-1992;2016
84;Make you feel my love;Adele;-2008;2016
85;Bitter Sweet Symphony;Verve;-1997;2016
86;Who Wants To Live Forever;Queen;-1986;2016
87;Under Pressure;David Bowie & Queen;-1981;2016
88;Dochters;Marco Borsato;-2008;2016
89;The pretender;Foo Fighters;-2007;2016
90;Don't Stop Me Now;Queen;-1979;2016
91;Hallelujah;Jeff Buckley;-1994;2016
92;Iedereen Is Van De Wereld;Scene;-1991;2016
93;Stil In Mij;Van Dik Hout;-1994;2016
94;The Rose;Bette Midler;-1980;2016
95;Fool's Overture;Supertramp;-1977;2016
96;Blackbird;Beatles;-1968;2016
97;Yesterday;Beatles;-1965;2016
98;Belfast Child;Simple Minds;-1989;2016
99;Gimme Shelter;Rolling Stones;-1969;2016
100;Hurricane;Bob Dylan;-1975;2016
1;Imagine;John Lennon;-1971;2015
2;Bohemian Rhapsody;Queen;-1975;2015
3;Hotel California;Eagles;-1977;2015
4;Mag Ik Dan Bij Jou;Claudia de Breij;-2011;2015
5;Stairway To Heaven;Led Zeppelin;-1971;2015
6;Piano Man;Billy Joel;-1974;2015
7;Avond;Boudewijn De Groot;-1997;2015
8;Child In Time;Deep Purple;-1972;2015
9;Wish You Were Here;Pink Floyd;-1975;2015
10;Fix you;Coldplay;-2005;2015
11;Comfortably Numb;Pink Floyd;-1979;2015
12;Black;Pearl Jam;-1991;2015
13;November Rain;Guns N' Roses;-1992;2015
14;Shine On You Crazy Diamond;Pink Floyd;-1975;2015
15;Brothers In Arms;Dire Straits;-1985;2015
16;Nothing Else Matters;Metallica;-1992;2015
17;The River;Bruce Springsteen;-1981;2015
18;Someone like you;Adele;-2011;2015
19;God Only Knows;Beach Boys;-1966;2015
20;One;Metallica;-1994;2015
21;Oceaan;Racoon;-2013;2015
22;Brabant;Guus Meeuwis;-2003;2015
23;Hello;Adele;-2015;2015
24;One;U2;-1992;2015
25;Sultans Of Swing;Dire Straits;-1978;2015
26;Hurt;Johnny Cash;-2003;2015
27;Thunderstruck;AC/DC;-1990;2015
28;Viva la vida;Coldplay;-2008;2015
29;Clocks;Coldplay;-2003;2015
30;Paradise By The Dashboard Light;Meat Loaf;-1978;2015
31;Radar Love;Golden Earring;-1973;2015
32;Home;Dotan;-2014;2015
33;Make you feel my love;Adele;-2008;2015
34;Smells Like Teen Spirit;Nirvana;-1991;2015
35;The scientist;Coldplay;-2002;2015
36;Skyfall;Adele;-2012;2015
37;Old And Wise;Alan Parsons Project;-1982;2015
38;Innuendo;Queen;-1991;2015
39;Just breathe;Pearl Jam;-2009;2015
40;Go Your Own Way;Fleetwood Mac;-1977;2015
41;A Forest;Cure;-1980;2015
42;Africa;Toto;-1982;2015
43;Telegraph Road;Dire Straits;-1982;2015
44;The Sound Of Silence;Simon & Garfunkel;-1966;2015
45;Het Dorp;Wim Sonneveld;-1974;2015
46;Sympathy For The Devil;Rolling Stones;-1973;2015
47;Iron Sky;Paolo Nutini;-2014;2015
48;Hey Jude;Beatles;-1968;2015
49;Riders On The Storm;Doors;-1971;2015
50;Paint It Black;Rolling Stones;-1966;2015
51;Let It Be;Beatles;-1970;2015
52;School;Supertramp;-1974;2015
53;Whole Lotta Rosie;AC/DC;-1978;2015
54;Dochters;Marco Borsato;-2008;2015
55;Sweet Child O' Mine;Guns N' Roses;-1988;2015
56;With Or Without You;U2;-1987;2015
57;Sunday Bloody Sunday;U2;-1985;2015
58;Mr. Blue Sky;Electric Light Orchestra;-1978;2015
59;Bridge Over Troubled Water;Simon & Garfunkel;-1970;2015
60;Heroes;David Bowie;-1977;2015
61;Alive;Pearl Jam;-1992;2015
62;Purple Rain;Prince & the Revolution;-1984;2015
63;Het Regent Zonnestralen;Acda En De Munnik;-1998;2015
64;Iedereen Is Van De Wereld;Scene;-1991;2015
65;Somebody To Love;Queen;-1976;2015
66;Under The Bridge;Red Hot Chili Peppers;-1992;2015
67;Private Investigations;Dire Straits;-1982;2015
68;Thinking Out Loud;Ed Sheeran;-2014;2015
69;Fool's Overture;Supertramp;-1977;2015
70;The pretender;Foo Fighters;-2007;2015
71;Pastorale;Ramses Shaffy & Liesbeth List;-1969;2015
72;Another Brick In The Wall;Pink Floyd;-1979;2015
73;War;Kensington;-2014;2015
74;Love Of My Life;Queen;-1975;2015
75;Rolling in the deep;Adele;-2010;2015
76;Over De Muur;Klein Orkest;-1984;2015
77;Angie;Rolling Stones;-1973;2015
78;The Last Resort;Eagles;-1976;2015
79;Goodnight Saigon;Billy Joel;-1983;2015
80;Angels;Robbie Williams;-1998;2015
81;Enter sandman;Metallica;-1991;2015
82;The Dock Of The Bay;Otis Redding;-1968;2015
83;Tears In Heaven;Eric Clapton;-1992;2015
84;House Of The Rising Sun;Animals;-1964;2015
85;Gimme Shelter;Rolling Stones;-1969;2015
86;Stil In Mij;Van Dik Hout;-1994;2015
87;In The Air Tonight;Phil Collins;-1981;2015
88;Set fire to the rain;Adele;-2011;2015
89;Bitter Sweet Symphony;Verve;-1997;2015
90;Ben Ik Te Min;Armand;-1967;2015
91;Highway to hell;AC/DC;-1979;2015
92;Formidable;Stromae;-2013;2015
93;Chasing cars;Snow Patrol;-2006;2015
94;Killing In The Name Of;Rage against the machine;-1993;2015
95;Fragile;Sting;-1988;2015
96;Yesterday;Beatles;-1965;2015
97;Don't Stop Me Now;Queen;-1979;2015
98;Back to black;Amy Winehouse;-2011;2015
99;Who Wants To Live Forever;Queen;-1986;2015
100;The Rose;Bette Midler;-1980;2015
1;Hotel California;Eagles;-1977;2014
2;Bohemian Rhapsody;Queen;-1975;2014
3;Stairway To Heaven;Led Zeppelin;-1971;2014
4;Child In Time;Deep Purple;-1972;2014
5;Avond;Boudewijn De Groot;-1997;2014
6;Wish You Were Here;Pink Floyd;-1975;2014
7;Piano Man;Billy Joel;-1974;2014
8;Comfortably Numb;Pink Floyd;-1979;2014
9;Shine On You Crazy Diamond;Pink Floyd;-1975;2014
10;November Rain;Guns N' Roses;-1992;2014
11;Nothing Else Matters;Metallica;-1992;2014
12;Black;Pearl Jam;-1991;2014
13;God Only Knows;Beach Boys;-1966;2014
14;Brothers In Arms;Dire Straits;-1985;2014
15;Fix you;Coldplay;-2005;2014
16;The River;Bruce Springsteen;-1981;2014
17;Paradise By The Dashboard Light;Meat Loaf;-1978;2014
18;One;Metallica;-1994;2014
19;Mag Ik Dan Bij Jou;Claudia de Breij;-2011;2014
20;Clocks;Coldplay;-2003;2014
21;Oceaan;Racoon;-2013;2014
22;One;U2;-1992;2014
23;Viva la vida;Coldplay;-2008;2014
24;Thunderstruck;AC/DC;-1990;2014
25;Happy;Pharrel Williams;-2013;2014
26;Radar Love;Golden Earring;-1973;2014
27;Sultans Of Swing;Dire Straits;-1978;2014
28;Old And Wise;Alan Parsons Project;-1982;2014
29;Hurt;Johnny Cash;-2003;2014
30;Go Your Own Way;Fleetwood Mac;-1977;2014
31;Smells Like Teen Spirit;Nirvana;-1991;2014
32;Formidable;Stromae;-2013;2014
33;Brabant;Guus Meeuwis;-2003;2014
34;Heroes;David Bowie;-1977;2014
35;Someone like you;Adele;-2011;2014
36;The scientist;Coldplay;-2002;2014
37;Sympathy For The Devil;Rolling Stones;-1973;2014
38;Imagine;John Lennon;-1971;2014
39;Het Dorp;Wim Sonneveld;-1974;2014
40;Riders On The Storm;Doors;-1971;2014
41;School;Supertramp;-1974;2014
42;The Sound Of Silence;Simon & Garfunkel;-1966;2014
43;Whole Lotta Rosie;AC/DC;-1978;2014
44;Innuendo;Queen;-1991;2014
45;With Or Without You;U2;-1987;2014
46;Just breathe;Pearl Jam;-2009;2014
47;Pastorale;Ramses Shaffy & Liesbeth List;-1969;2014
48;Bridge Over Troubled Water;Simon & Garfunkel;-1970;2014
49;A Forest;Cure;-1980;2014
50;Let It Be;Beatles;-1970;2014
51;Africa;Toto;-1982;2014
52;Telegraph Road;Dire Straits;-1982;2014
53;Gimme Shelter;Rolling Stones;-1969;2014
54;Angie;Rolling Stones;-1973;2014
55;The Last Resort;Eagles;-1976;2014
56;Another Brick In The Wall;Pink Floyd;-1979;2014
57;Paint It Black;Rolling Stones;-1966;2014
58;Hey Jude;Beatles;-1968;2014
59;Alive;Pearl Jam;-1992;2014
60;Over De Muur;Klein Orkest;-1984;2014
61;Make you feel my love;Adele;-2008;2014
62;Sunday Bloody Sunday;U2;-1985;2014
63;Waves;Mr. Probz;-2013;2014
64;Under The Bridge;Red Hot Chili Peppers;-1992;2014
65;Sweet Child O' Mine;Guns N' Roses;-1988;2014
66;Highway to hell;AC/DC;-1979;2014
67;The Dock Of The Bay;Otis Redding;-1968;2014
68;Dochters;Marco Borsato;-2008;2014
69;Love Of My Life;Queen;-1975;2014
70;Private Investigations;Dire Straits;-1982;2014
71;Purple Rain;Prince & the Revolution;-1984;2014
72;Fool's Overture;Supertramp;-1977;2014
73;Tears In Heaven;Eric Clapton;-1992;2014
74;All Of Me;John Legend;-2013;2014
75;Angels;Robbie Williams;-1998;2014
76;Nights In White Satin;Moody Blues;-1968;2014
77;Het Regent Zonnestralen;Acda En De Munnik;-1998;2014
78;House Of The Rising Sun;Animals;-1964;2014
79;Enter sandman;Metallica;-1991;2014
80;Chasing cars;Snow Patrol;-2006;2014
81;Somebody To Love;Queen;-1976;2014
82;Home;Dotan;-2014;2014
83;Goodnight Saigon;Billy Joel;-1983;2014
84;Bitter Sweet Symphony;Verve;-1997;2014
85;The Rose;Bette Midler;-1980;2014
86;Fragile;Sting;-1988;2014
87;Killing In The Name Of;Rage against the machine;-1993;2014
88;Rolling in the deep;Adele;-2010;2014
89;Yesterday;Beatles;-1965;2014
90;Mr. Blue Sky;Electric Light Orchestra;-1978;2014
91;Stil In Mij;Van Dik Hout;-1994;2014
92;Perfect Day;Lou Reed;-1972;2014
93;Skyfall;Adele;-2012;2014
94;Let Her Go;Passenger;-2012;2014
95;The Load Out/stay;Jackson Browne;-1977;2014
96;Whole Lotta Love;Led Zeppelin;-1969;2014
97;In The Air Tonight;Phil Collins;-1981;2014
98;A Whiter Shade Of Pale;Procol Harum;-1967;2014
99;Hallelujah;Jeff Buckley;-1994;2014
100;Who Wants To Live Forever;Queen;-1986;2014
1;Bohemian Rhapsody;Queen;-1975;2013
2;Hotel California;Eagles;-1977;2013
3;Stairway To Heaven;Led Zeppelin;-1971;2013
4;Child In Time;Deep Purple;-1972;2013
5;Avond;Boudewijn De Groot;-1997;2013
6;Wish You Were Here;Pink Floyd;-1975;2013
7;The River;Bruce Springsteen;-1981;2013
8;Comfortably Numb;Pink Floyd;-1979;2013
9;Nothing Else Matters;Metallica;-1992;2013
10;Shine On You Crazy Diamond;Pink Floyd;-1975;2013
11;Brothers In Arms;Dire Straits;-1985;2013
12;Clocks;Coldplay;-2003;2013
13;November Rain;Guns N' Roses;-1992;2013
14;One;Metallica;-1994;2013
15;Viva la vida;Coldplay;-2008;2013
16;Black;Pearl Jam;-1991;2013
17;Hurt;Johnny Cash;-2003;2013
18;Piano Man;Billy Joel;-1974;2013
19;One;U2;-1992;2013
20;Fix you;Coldplay;-2005;2013
21;Sultans Of Swing;Dire Straits;-1978;2013
22;Paradise By The Dashboard Light;Meat Loaf;-1978;2013
23;Imagine;John Lennon;-1971;2013
24;Radar Love;Golden Earring;-1973;2013
25;Someone like you;Adele;-2011;2013
26;Smells Like Teen Spirit;Nirvana;-1991;2013
27;Brabant;Guus Meeuwis;-2003;2013
28;Africa;Toto;-1982;2013
29;The scientist;Coldplay;-2002;2013
30;Riders On The Storm;Doors;-1971;2013
31;Old And Wise;Alan Parsons Project;-1982;2013
32;The Sound Of Silence;Simon & Garfunkel;-1966;2013
33;Oceaan;Racoon;-2013;2013
34;Perfect Day;Lou Reed;-1972;2013
35;Sympathy For The Devil;Rolling Stones;-1973;2013
36;Het Dorp;Wim Sonneveld;-1974;2013
37;School;Supertramp;-1974;2013
38;Bridge Over Troubled Water;Simon & Garfunkel;-1970;2013
39;Let It Be;Beatles;-1970;2013
40;Angels;Robbie Williams;-1998;2013
41;Go Your Own Way;Fleetwood Mac;-1977;2013
42;Pastorale;Ramses Shaffy & Liesbeth List;-1969;2013
43;Under The Bridge;Red Hot Chili Peppers;-1992;2013
44;Innuendo;Queen;-1991;2013
45;Hey Jude;Beatles;-1968;2013
46;Angie;Rolling Stones;-1973;2013
47;With Or Without You;U2;-1987;2013
48;Another Brick In The Wall;Pink Floyd;-1979;2013
49;Paint It Black;Rolling Stones;-1966;2013
50;A Forest;Cure;-1980;2013
51;The Dock Of The Bay;Otis Redding;-1968;2013
52;Telegraph Road;Dire Straits;-1982;2013
53;Make you feel my love;Adele;-2008;2013
54;Thunderstruck;AC/DC;-1990;2013
55;House Of The Rising Sun;Animals;-1964;2013
56;Chasing cars;Snow Patrol;-2006;2013
57;Alive;Pearl Jam;-1992;2013
58;Sweet Child O' Mine;Guns N' Roses;-1988;2013
59;God Only Knows;Beach Boys;-1966;2013
60;The Last Resort;Eagles;-1976;2013
61;Skyfall;Adele;-2012;2013
62;Sunday Bloody Sunday;U2;-1985;2013
63;Somebody that I used to know;Gotye ft. Kimbra;-2011;2013
64;Whole Lotta Rosie;AC/DC;-1978;2013
65;Tears In Heaven;Eric Clapton;-1992;2013
66;Private Investigations;Dire Straits;-1982;2013
67;Enter sandman;Metallica;-1991;2013
68;Nights In White Satin;Moody Blues;-1968;2013
69;Just breathe;Pearl Jam;-2009;2013
70;Fool's Overture;Supertramp;-1977;2013
71;Paranoid;Black Sabbath;-1970;2013
72;Dochters;Marco Borsato;-2008;2013
73;Hurricane;Bob Dylan;-1975;2013
74;Fragile;Sting;-1988;2013
75;Rolling in the deep;Adele;-2010;2013
76;Yesterday;Beatles;-1965;2013
77;Purple Rain;Prince & the Revolution;-1984;2013
78;Hallelujah;Jeff Buckley;-1994;2013
79;Heroes;David Bowie;-1977;2013
80;Papa;Stef Bos;-1991;2013
81;Bitter Sweet Symphony;Verve;-1997;2013
82;Love Of My Life;Queen;-1975;2013
83;A Whiter Shade Of Pale;Procol Harum;-1967;2013
84;Over De Muur;Klein Orkest;-1984;2013
85;Mr. Blue Sky;Electric Light Orchestra;-1978;2013
86;Whole Lotta Love;Led Zeppelin;-1969;2013
87;Het Regent Zonnestralen;Acda En De Munnik;-1998;2013
88;Voor Haar;Frans Halsema;-1977;2013
89;Let Her Go;Passenger;-2012;2013
90;Goodnight Saigon;Billy Joel;-1983;2013
91;Somebody To Love;Queen;-1976;2013
92;Blackbird;Beatles;-1968;2013
93;Ne Me Quitte Pas;Jacques Brel;-1960;2013
94;Killing In The Name Of;Rage against the machine;-1993;2013
95;Stil In Mij;Van Dik Hout;-1994;2013
96;The pretender;Foo Fighters;-2007;2013
97;All Along The Watchtower;Jimi Hendrix Experience;-1968;2013
98;Sex on fire;Kings of Leon;-2008;2013
99;Street Spirit;Radiohead;-1995;2013
100;Who Wants To Live Forever;Queen;-1986;2013
1;Bohemian Rhapsody;Queen;-1975;2012
2;Hotel California;Eagles;-1977;2012
3;Stairway To Heaven;Led Zeppelin;-1971;2012
4;Child In Time;Deep Purple;-1972;2012
5;Avond;Boudewijn De Groot;-1997;2012
6;Wish You Were Here;Pink Floyd;-1975;2012
7;Shine On You Crazy Diamond;Pink Floyd;-1975;2012
8;Someone like you;Adele;-2011;2012
9;Clocks;Coldplay;-2003;2012
10;Comfortably Numb;Pink Floyd;-1979;2012
11;Brothers In Arms;Dire Straits;-1985;2012
12;November Rain;Guns N' Roses;-1992;2012
13;Rolling in the deep;Adele;-2010;2012
14;Nothing Else Matters;Metallica;-1992;2012
15;The River;Bruce Springsteen;-1981;2012
16;Viva la vida;Coldplay;-2008;2012
17;One;U2;-1992;2012
18;Radar Love;Golden Earring;-1973;2012
19;Paradise By The Dashboard Light;Meat Loaf;-1978;2012
20;One;Metallica;-1994;2012
21;Old And Wise;Alan Parsons Project;-1982;2012
22;Imagine;John Lennon;-1971;2012
23;Make you feel my love;Adele;-2008;2012
24;Black;Pearl Jam;-1991;2012
25;Somebody that I used to know;Gotye ft. Kimbra;-2011;2012
26;Angie;Rolling Stones;-1973;2012
27;Brabant;Guus Meeuwis;-2003;2012
28;Sultans Of Swing;Dire Straits;-1978;2012
29;Hurt;Johnny Cash;-2003;2012
30;Smells Like Teen Spirit;Nirvana;-1991;2012
31;The Dock Of The Bay;Otis Redding;-1968;2012
32;Riders On The Storm;Doors;-1971;2012
33;Hey Jude;Beatles;-1968;2012
34;The scientist;Coldplay;-2002;2012
35;School;Supertramp;-1974;2012
36;Piano Man;Billy Joel;-1974;2012
37;Set fire to the rain;Adele;-2011;2012
38;Bridge Over Troubled Water;Simon & Garfunkel;-1970;2012
39;Another Brick In The Wall;Pink Floyd;-1979;2012
40;Fix you;Coldplay;-2005;2012
41;Angels;Robbie Williams;-1998;2012
42;A Forest;Cure;-1980;2012
43;Paint It Black;Rolling Stones;-1966;2012
44;God Only Knows;Beach Boys;-1966;2012
45;Whole Lotta Rosie;AC/DC;-1978;2012
46;Pastorale;Ramses Shaffy & Liesbeth List;-1969;2012
47;Dochters;Marco Borsato;-2008;2012
48;Thunderstruck;AC/DC;-1990;2012
49;Private Investigations;Dire Straits;-1982;2012
50;Sympathy For The Devil;Rolling Stones;-1973;2012
51;House Of The Rising Sun;Animals;-1964;2012
52;Let It Be;Beatles;-1970;2012
53;With Or Without You;U2;-1987;2012
54;Innuendo;Queen;-1991;2012
55;Sunday Bloody Sunday;U2;-1985;2012
56;Bloed, zweet en tranen;André Hazes;-2002;2012
57;Sweet Child O' Mine;Guns N' Roses;-1988;2012
58;The cave;Mumford & Sons;-2010;2012
59;Alive;Pearl Jam;-1992;2012
60;Under The Bridge;Red Hot Chili Peppers;-1992;2012
61;A Whiter Shade Of Pale;Procol Harum;-1967;2012
62;Africa;Toto;-1982;2012
63;Chasing cars;Snow Patrol;-2006;2012
64;Fool's Overture;Supertramp;-1977;2012
65;Nights In White Satin;Moody Blues;-1968;2012
66;The Last Resort;Eagles;-1976;2012
67;Blackbird;Beatles;-1968;2012
68;Hallelujah;Jeff Buckley;-1994;2012
69;Het Dorp;Wim Sonneveld;-1974;2012
70;The Sound Of Silence;Simon & Garfunkel;-1966;2012
71;Over De Muur;Klein Orkest;-1984;2012
72;Empire state of mind (Part II) Broken Down;Alicia Keys;-2010;2012
73;Telegraph Road;Dire Straits;-1982;2012
74;Purple Rain;Prince & the Revolution;-1984;2012
75;Papa;Stef Bos;-1991;2012
76;Love Of My Life;Queen;-1975;2012
77;Tears In Heaven;Eric Clapton;-1992;2012
78;Fragile;Sting;-1988;2012
79;I Follow Rivers;Triggerfinger;-2012;2012
80;Goodnight Saigon;Billy Joel;-1983;2012
81;Go Your Own Way;Fleetwood Mac;-1977;2012
82;A Day In The Life;Beatles;-1967;2012
83;Billie Jean;Michael Jackson;-1983;2012
84;Bitter Sweet Symphony;Verve;-1997;2012
85;Yesterday;Beatles;-1965;2012
86;The Rose;Bette Midler;-1980;2012
87;Somebody To Love;Queen;-1976;2012
88;Paranoid;Black Sabbath;-1970;2012
89;Enter sandman;Metallica;-1991;2012
90;Don't Stop Me Now;Queen;-1979;2012
91;Whole Lotta Love;Led Zeppelin;-1969;2012
92;Stil In Mij;Van Dik Hout;-1994;2012
93;(i Can't Get No) Satisfaction;Rolling Stones;-1965;2012
94;Just breathe;Pearl Jam;-2009;2012
95;Hurricane;Bob Dylan;-1975;2012
96;Beautiful Day;U2;-2000;2012
97;Back to black;Amy Winehouse;-2011;2012
98;Het Regent Zonnestralen;Acda En De Munnik;-1998;2012
99;Little Lion Man;Mumford & Sons;-2009;2012
100;A night like this;Caro Emerald;-2009;2012
0;;;0;0
